model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen
vanilla,vanilla,,,,,cvar,3,-0.015366478202243647,0.00010914019459799283,-0.04860608577728271,-0.06270960842569669,0.9279633267845449,0.9187817374865214,0.023205359776814777,0.0,0.0,0.0,0.0,66.66666666666667,0.05711074327429136,0.0,0.0,,True,True,True
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,2,-0.015574722550809383,0.0002403542574345169,-0.04797789864242076,-0.058334749191999435,0.918467583497053,0.7581852674484253,0.021947109140455723,0.0,0.0,0.0,0.0,14.5,0.05751565561164171,0.0,0.0,,True,True,True
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.015613214112818241,0.00019398154663539445,-0.049619863430658974,-0.06293822079896927,0.9017681728880157,0.6861931582291921,0.021771371519813936,0.00018009168303863786,0.00018009168303863786,0.0,0.0019646365422396855,60.666666666666664,0.05632280736064379,8.21827744904668e-05,0.0019723865877712033,,True,True,True
spot_delta,baseline,,,,,,3,-0.015683138743042946,0.00038244507090179857,-0.04990915730595588,-0.06443611284097035,0.8500327439423706,0.6425193349520365,0.020428720240791638,0.0,0.0,0.0,0.0,,,,,,True,True,True
spot_delta_band,baseline,,,,,,3,-0.0156836345170935,0.0003361479261538006,-0.04985132962465286,-0.06456331660350163,0.8526522593320237,0.575852652390798,0.014271275450785955,0.0,0.0,0.0,0.0,,,,,0.06666666666666667,True,True,True
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,2,-0.015689893160015345,0.0004666308089218872,-0.048540365695953366,-0.05988469161093235,0.9341846758349706,0.7305292189121246,0.019239791203290224,0.0,0.0,0.0,0.0,15.5,0.05753781898645684,0.0,0.0,,True,True,True
proto_source=vanilla_k=50_weighted=0_learnw=0,proto,vanilla,50.0,False,False,cvar,2,-0.015714632347226143,0.0002089377331366933,-0.04968807250261306,-0.06038510799407959,0.9292730844793713,0.7807107865810394,0.02220351155847311,0.13536345776031433,0.13536345776031433,0.0,0.5,276.0,0.06941047670044137,0.10747041420118343,0.5,,True,True,True
proto_source=vanilla_k=50_weighted=1_learnw=0,proto,vanilla,50.0,True,False,cvar,2,-0.015730589162558317,0.00044197358545399823,-0.04950477369129658,-0.060575634241104126,0.9214145383104125,0.809592604637146,0.02532573789358139,0.1363212180746562,0.1363212180746562,0.0,0.5,9.5,0.0722222094034089,0.13348126232741617,0.5,,True,True,True
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,2,-0.015763335395604372,0.00020257816882310418,-0.05018579810857773,-0.06172541342675686,0.8939096267190569,0.6492115259170532,0.012848371174186468,0.0,0.0,0.0,0.0,39.0,0.05752871701959521,0.0,0.0,,True,True,True
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.015773141756653786,0.0003934485578425158,-0.04764019151528676,-0.0612848661839962,0.9476096922069418,0.9039844473203024,0.023968520884712536,0.01538965291421087,0.013539620170268501,0.0018500327439423707,0.10216110019646364,11.0,0.060343201525667335,0.02702169625246548,0.21104536489151873,,True,True,True
