model,model_family,prototype_source,n_prototypes,weighted_similarity,learn_distance_feature_weights,risk_measure,n_runs,gains_mean_avg,gains_mean_std,gains_p05_avg,gains_cvar05_avg,shortfall_prob_avg,delta_abs_max_avg,action_abs_mean_avg,pct_at_any_position_bound_avg,pct_at_upper_position_bound_avg,pct_at_lower_position_bound_avg,pct_paths_touch_any_position_bound_avg,selected_epoch_avg,selected_score_avg,selected_val_pct_at_any_position_bound_avg,selected_val_pct_paths_touch_any_position_bound_avg,selected_band_avg,passes_bound_occupancy_screen,passes_path_touch_screen,passes_robust_screen
proto_source=spot_delta_k=25_weighted=1_learnw=0,proto,spot_delta,25.0,True,False,cvar,3,-0.026990065351128578,0.0004974629118461598,-0.09359133144219715,-0.12472699582576752,0.9286182056319582,0.9436107476552328,0.020102715430160362,0.10022920759659464,0.10022920759659464,0.0,0.33136869679109365,454.0,0.09923156131798601,0.0002794214332675871,0.011176857330703484,,True,True,True
vanilla,vanilla,,,,,cvar,3,-0.027112565313776333,0.00040928488514798686,-0.0946559965610504,-0.12398127466440201,0.945645055664702,1.0,0.025096782793601353,0.09070072036673216,0.09070072036673216,0.0,1.0,542.6666666666666,0.09986531209493917,0.0001314924391847469,0.005259697567389875,,True,True,True
proto_source=spot_delta_k=10_weighted=0_learnw=0,proto,spot_delta,10.0,False,False,cvar,3,-0.027157243341207504,0.00043658892467255366,-0.0945872555176417,-0.1239328533411026,0.8788474132285528,0.9320770899454752,0.022756910572449367,0.005697445972495088,0.005697445972495088,0.0,0.07203667321545514,221.33333333333334,0.09926623059279316,1.643655489809336e-05,0.0006574621959237344,,True,True,True
proto_source=spot_delta_k=10_weighted=1_learnw=0,proto,spot_delta,10.0,True,False,cvar,3,-0.027191778644919395,0.0003969407229053643,-0.09312450041373571,-0.12250734120607376,0.8932547478716438,0.9214079777399699,0.03078352101147175,0.0027504911591355596,0.0027504911591355596,0.0,0.06483300589390963,17.0,0.09924750387502673,8.21827744904668e-05,0.0019723865877712033,,True,True,True
proto_source=spot_delta_k=100_weighted=0_learnw=0,proto,spot_delta,100.0,False,False,cvar,3,-0.027210434277852375,0.0003772722502152042,-0.09350182314713795,-0.12386884291966756,0.8867059593975114,0.9085535407066345,0.025237267836928368,0.01259004584151932,0.01259004584151932,0.0,0.18467583497053044,23.666666666666668,0.09932552464608223,6.574621959237344e-05,0.0013149243918474688,,True,True,True
proto_source=spot_delta_k=50_weighted=0_learnw=0,proto,spot_delta,50.0,False,False,cvar,3,-0.027243974308172863,0.0005416785760587498,-0.09651394734779994,-0.12650714069604874,0.9122462344466274,0.9472566843032837,0.019098767079412937,0.032907662082514735,0.032678454485920105,0.00022920759659463,0.24950884086444006,151.33333333333334,0.09934822008410808,0.0005259697567389875,0.0052596975673898745,,True,True,True
proto_source=spot_delta_k=25_weighted=0_learnw=0,proto,spot_delta,25.0,False,False,cvar,3,-0.02731509506702423,0.0004441353588670103,-0.09517180522282918,-0.1257520243525505,0.9096267190569746,1.0,0.023738230889042217,0.02576948264571054,0.02576948264571054,0.0,0.2174197773411919,26.0,0.09931266514894861,0.0,0.0,,True,True,True
proto_source=spot_delta_k=100_weighted=1_learnw=0,proto,spot_delta,100.0,True,False,cvar,3,-0.02732786536216736,0.0005047674058464735,-0.09601342827081681,-0.12578913817803064,0.8978388998035364,0.9259694218635559,0.02410436049103737,0.0013425016371971185,0.0,0.0013425016371971185,0.009823182711198428,75.33333333333333,0.09924202580901964,0.00026298487836949375,0.0039447731755424065,,True,True,True
proto_source=spot_delta_k=50_weighted=1_learnw=0,proto,spot_delta,50.0,True,False,cvar,3,-0.027336909125248592,0.0004985522965920387,-0.09281787772973378,-0.12399680664141972,0.9194499017681729,0.9666748642921448,0.026950929934779804,0.0067288801571709226,0.0067288801571709226,0.0,0.16175507531106745,21.333333333333332,0.09957357074537564,0.0004766600920447074,0.01643655489809336,,True,True,True
proto_source=vanilla_k=10_weighted=0_learnw=0,proto,vanilla,10.0,False,False,cvar,3,-0.0273997417340676,0.0005482437170534612,-0.0969281072417895,-0.12639564275741577,0.9954158480681073,0.6916100780169169,0.018086876720190048,0.0,0.0,0.0,0.0,232.66666666666666,0.10026887382691106,0.0,0.0,,True,True,True
